Unnamed: 0,lon,lat,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,CITY,PHONE,SEAT_CAP,RISK,main_type,capacity,price,RECORD_ID,FACILITY_NAME,CHAIN_NAME,CHAIN_ESTABLISHMENT,SITE_ADDRESS
531,-122.3246558,47.61425464,1041,351043,0,350,Belmont Lounge; The,Belmont Lounge; The,518 E PIKE ST,98122,Seattle,(425) 283-9085,Seating 0-12,II,restaurant,6.0,34.25, , , , ," 
"
354,-122.3324293,47.56706577,726,350728,0,350,Avanti Markets Nw @ Charlie'S Produce,Avanti Markets Nw @ Charlie'S Produce,4103 2ND AVE S STE 800,98134,Seattle,,Grocery Store-no seating,I,grocery,38.68339436083043,18.75, , , , ," 
"
4307,-122.3656678,47.66026385,9145,359149,0,350,The Dish Cafe,The Dish Cafe,4358 LEARY WAY NW,98107,Seattle,(206) 409-8860,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
1826,-122.3335775,47.59217444,3869,353871,0,350,Hit It Here  Kitchen  C32A,T-Mobile Park,151 S ROYAL BROUGHAM WAY,98134,Seattle,,Seating > 250,III,restaurant,250.0,34.25, , , , ," 
"
3091,-122.3335003,47.59340147,6545,356548,0,350,Pioneer Tacos & Tequila,Pioneer Tacos & Tequila,1021 OCCIDENTAL AVE S,98134,Seattle,(206) 422-3606,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
3844,-122.3492996,47.62049457,8184,358188,0,350,Space Needle Wine Kiosk #2,Space Needle Wine Kiosk,400 BROAD ST,98109,Seattle,(206) 905-2263,Limited Food Services,,quick service,15.611973826245231,20.0, , , , ," 
"
3101,-122.3315931,47.59543814,6561,356564,0,350,Pizza Concession 4B15 (210),Levy Restaurants @ Lumen Field,800 OCCIDENTAL AVE S,98134,Seattle,(206) 808-8302,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
3940,-122.3425121,47.61255876,8382,358386,0,350,Starbucks Coffee #3296,Starbucks Coffee #3296,211 LENORA ST,98121,Seattle,,Seating 13-50,II,restaurant,27.0,34.25,PR0056639,STARBUCKS COFFEE #3296,STARBUCKS,Y,"211 LENORA ST
"
4100,-122.3421577,47.63644155,8743,358747,0,350,Swedish Cultural Center,Swedish Cultural Center,1920 DEXTER AVE N,98109,Seattle,(206) 282-5903,Non-Profit Institution,III,grocery,38.68339436083043,18.75, , , , ," 
"
792,-122.3253652,47.59768842,1597,351599,0,350,Can'T Hot,Can'T Hot,523 MAYNARD AVE S,98104,Seattle,(312) 799-0076,Seating 0-12,II,restaurant,6.0,34.25, , , , ," 
"
3728,-122.3661107,47.5084456,7949,357953,0,350,Shorewood Grocery,Shorewood Grocery,10455 26TH AVE SW,98146,Seattle,(206) 243-6233,Grocery Store-no seating,I,grocery,38.68339436083043,18.75, , , , ," 
"
4467,-122.27833,47.49103,9464,359468,0,350,Tukwila Community Center,Tukwila Community Center,12424 42ND AVE S,98168,Seattle,,Non-Profit Institution,III,grocery,38.68339436083043,18.75, , , , ," 
"
2391,-122.3335775,47.59217444,5107,355109,0,350,M133 Natural,T-Mobile Park,151 S ROYAL BROUGHAM WAY,98134,Seattle,,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
3220,-122.3172714,47.70940159,6862,356866,0,350,Qfc #866,Qfc #866,11100 ROOSEVELT WAY NE,98125,Seattle,,Grocery Store-no seating,I,grocery,38.68339436083043,18.75, , , , ," 
"
2247,-122.3421605,47.60982125,4860,354862,0,350,Le Panier,Le Panier,1902 PIKE PL,98101,Seattle,(206) 441-3669,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
2132,-122.2694783,47.53206623,4611,354609,0,350,King Philly Cheesesteaks,King Philly Cheesesteaks,7820 RAINIER AVE S # A,98118,Seattle,(206) 960-2035,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
320,-122.3394555,47.62642944,626,350628,0,350,Art Marble 21,Art Marble 21,731 WESTLAKE AVE N,98109,Seattle,(206) 223-0300,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
3292,-122.2937282,47.57324475,6981,356985,0,350,Rainier Teriyaki,Rainier Teriyaki,3330 RAINIER AVE S #A,98144,Seattle,(206) 725-7783,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
514,-122.3862429,47.58099412,993,350995,0,350,Bebop Waffle Shop,Bebop Waffle Shop,2600 CALIFORNIA AVE SW,98116,Seattle,(206) 713-7013,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
3136,-122.3217526,47.6139331,6633,356636,0,350,Poke N Roll,Poke N Roll,811 E PIKE ST,98122,Seattle,(206) 518-3758,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
196,-122.3551452,47.73384178,403,350405,0,350,Am Pm Mini Mart,Am Pm Mini Mart,14424 GREENWOOD AVE N,98133,Seattle,(206) 361-8333,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
1577,-122.37027,47.628294,3375,353377,0,350,Fuji Bakery,Fuji Bakery,1030 ELLIOTT AVE W,98119,Seattle,(206) 216-3616,Seating 13-50,II,restaurant,27.0,34.25, , , , ," 
"
2548,-122.317055,47.66529433,5425,355427,0,350,Mei Mei Cafe,Mei Mei Cafe,1004 NE 50TH ST,98105,Seattle,(206) 922-2189,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
606,-122.3135427,47.65807388,1224,351226,0,350,Boba Up,Boba Up,4141 UNIVERSITY WAY NE #103,98105,Seattle,(206) 547-8800,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
3834,-122.18125,47.49852,8171,358175,0,350,Southern Taiwan,Southern Taiwan,1104 19TH AVE E,98112,Seattle,(425) 244-6422,Mobile Food Unit,III,quick service,15.611973826245231,20.0, , , , ," 
"
323,-122.345697,47.61736518,630,350632,0,350,Artisan Cafe,Artisan Cafe,2523 5th AVE,98121,Seattle,(206) 764-4557,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
587,-122.3392733,47.60837014,1185,351187,0,350,Blarney Stone Pub,Blarney Stone Pub,1416 1ST AVE,98101,Seattle,(206) 448-8439,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
3562,-122.3355846,47.56776969,7661,357665,0,350,San Juan Seltzery & Taproom,San Juan Seltzery & Taproom,3901 1ST AVE S,98134,Seattle,,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
1114,-122.3570111,47.62427463,2369,352371,0,350,Cvs/ Pharmacy #10331,Cvs/ Pharmacy #10331,531 QUEEN ANNE AVE N,98109,Seattle,(401) 765-1500,Grocery Store-no seating,I,grocery,38.68339436083043,18.75, , , , ," 
"
220,-122.34015,47.61697,439,350441,0,350,Amazon Block 21 - Market- Level 2,Amazon Block 21,2200 7TH AVE,98121,Seattle,(206) 266-0810,Grocery Store-no seating,I,grocery,38.68339436083043,18.75, , , , ," 
"
2837,-122.3339515,47.59200456,6038,356041,0,350,Observ Inc.  @ Safeco/ Qwest Field  U327Lem,Observ; Inc. @ T-Mobile Park,1250 1ST AVE S,98134,Seattle,,Limited Food Services,,quick service,15.611973826245231,20.0, , , , ," 
"
2220,-122.3203331,47.59950819,4819,354821,0,350,Lan Hue Bakery,Lan Hue Bakery,900 S JACKSON ST #212,98104,Seattle,(206) 618-7218,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
3803,-122.3256303,47.62458355,8118,358122,0,350,Sol Liquor Lounge,Sol Liquor Lounge,607 SUMMIT AVE E,98102,Seattle,(805) 705-9667,Seating 13-50,I,restaurant,27.0,34.25, , , , ," 
"
3130,-122.387192,47.56061276,6625,356628,0,350,Poggie Tavern,Poggie Tavern,4717 CALIFORNIA AVE SW,98116,Seattle,(425) 442-1329,Seating 51-150,I,restaurant,101.0,34.25, , , , ," 
"
4091,-122.3413719,47.60983172,8721,358725,0,350,Sushi Kashiba,Sushi Kashiba,86 PINE ST,98101,Seattle,(206) 441-8844,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
1023,-122.0954284,47.6624087,2146,352148,0,350,Comm: Los Tinos Mex Rest,Latin Food - Kc644,7300 RAINIER AVE S,98118,Seattle,(425) 585-3999,Mobile Food Unit,III,quick service,15.611973826245231,20.0, , , , ," 
"
2731,-122.3210913,47.61860438,5835,355838,0,350,Natural Sweet Palace,Natural Sweet Palace,1833 BROADWAY,98122,Seattle,(425) 773-8689,Seating 0-12,II,restaurant,6.0,34.25, , , , ," 
"
1343,-122.3544321,47.5160003,2816,352818,0,350,El Catrin Llc,El Catrin Llc,9641 15TH AVE SW,98106,Seattle,(206) 915-7980,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
1403,-122.3589157,47.61927956,2955,352957,0,350,Espresso Elegance,Espresso Elegance,122 ELLIOTT AVE W,98119,Seattle,(206) 282-8155,Seating 0-12,I,restaurant,6.0,34.25, , , , ," 
"
2264,-122.37442,47.62831,4885,354887,0,350,Level 1 Indian Station,Expedia Inc,1111 EXPEDIA GROUP WAY W,98119,Seattle,(206) 481-4252,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
1719,-122.3493248,47.45944471,3644,353646,0,350,Guest House Bed & Breakfast; The,Guest House Bed & Breakfast; The,1121 SW 160TH ST,98166,Seattle,(206) 439-7576,Bed and Breakfast,I,others,10.781842783248672,15.0, , , , ," 
"
513,-122.3298807,47.60500737,992,350994,0,350,Bebas & Amigos,Bebas & Amigos,700 5TH AVE,98104,Seattle,(206) 622-7085,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
2324,-122.3958036,47.66780018,4995,354997,0,350,Lockspot Cafe,Lockspot Cafe,3005 NW 54TH ST,98107,Seattle,(206) 789-4865,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
1831,-122.3248199,47.59732571,3877,353879,0,350,Ho Ho Seafood Restaurant,Ho Ho Seafood Restaurant,653 S WELLER ST,98104,Seattle,(206) 382-9671,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
4280,-122.3171327,47.59935419,9108,359112,0,350,Thanh Tam Restaurant,Thanh Tam Restaurant,1200 S JACKSON ST #8,98144,Seattle,(206) 323-8689,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
1636,-122.294421,47.608016,3487,353489,0,350,Golden Wheat Bakery Cafe,Golden Wheat Bakery Cafe,2908 E CHERRY ST,98122,Seattle,(253) 353-0257,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
4522,-122.3271668,47.59899967,9555,359559,0,350,Union Station Market,Union Station Market,509 S JACKSON ST,98104,Seattle,(206) 428-8777,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
2701,-122.3379334,47.60950691,5762,355765,0,350,Mr. Saigon #2,Mr. Saigon #2,215 PIKE ST,98101,Seattle,(206) 618-7218,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
2255,-122.347598,47.66309068,4873,354875,0,350,Legendario Mexican Restaurant,Legendario Mexican Restaurant,4705 AURORA AVE N,98103,Seattle,(206) 261-7091,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
3693,-122.3424913,47.70270037,7878,357882,0,350,Shandong Bao House,Shandong Bao House,10008 AURORA AVE N,98133,Seattle,(206) 321-3539,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
2568,-122.33408,47.6044,5482,355484,0,350,Metropolitan Grill,Metropolitan Grill,820 2ND AVE,98104,Seattle,(206) 957-3202,Seating > 250,III,restaurant,250.0,34.25, , , , ," 
"
2741,-122.3281773,47.67815051,5851,355855,0,350,Nell'S Restaurant; Llc,Nell'S Restaurant; Llc,6804 E GREENLAKE WAY N,98115,Seattle,(206) 524-4044,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
955,-122.3146809,47.61343716,2003,352005,0,350,Chop Suey,Chop Suey,1325 E MADISON ST,98122,Seattle,(917) 439-5068,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
3538,-122.3818357,47.66722394,7622,357626,0,350,Salmon Bay Aerie 2141,Salmon Bay Aerie 2141,5214 20TH AVE NW,98107,Seattle,(206) 783-7791,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
4653,-122.3460161,47.61468852,9802,359806,0,350,Wakefield Bar,Wakefield Bar,2318 2ND AVE,98121,Seattle,(206) 679-6484,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
361,-122.3219456,47.58540345,742,350744,0,350,Avanti Markets Nw @ Toyota Honda Of Seattle,Avanti Markets Nw @Toyota Honda Sea,2005 AIRPORT WAY S,98134,Seattle,(206) 737-8716,Grocery Store-no seating,I,grocery,38.68339436083043,18.75, , , , ," 
"
3698,-122.312918,47.6641041,7889,357893,0,350,Sharetea Uw,Sharetea Uw,4730 UNIVERSITY WAY NE STE 109,98105,Seattle,(206) 355-3720,Seating 13-50,II,restaurant,27.0,34.25, , , , ," 
"
3051,-122.3855705,47.66882957,6487,356490,0,350,Pie Bar Ballard Llc,Pie Bar Ballard Llc,2218 NW MARKET ST,98107,Seattle,(425) 512-3307,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
2695,-122.3257965,47.66155468,5755,355758,0,350,Mr Gyro'S,Mr Gyro'S,256 NE 45TH ST,98105,Seattle,(425) 208-9726,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
1669,-122.3565303,47.63861625,3554,353556,0,350,Grappa,Grappa,2 BOSTON ST,98109,Seattle,(206) 239-8431,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
2004,-122.3336877,47.59270858,4327,354329,0,350,Jimmy'S On First,Jimmy'S On First,1046 1ST AVE S,98134,Seattle,(425) 637-9800,Seating 151-250,III,restaurant,201.0,34.25, , , , ," 
"
4547,-122.3545801,47.62250374,9594,359598,0,350,Upper Concourse W Center Ice Bar,Arena At Seattle Center,334 1ST AVE N,98109,Seattle,(206) 437-1240,Seating 0-12,I,restaurant,6.0,34.25, , , , ," 
"
3473,-122.311918,47.71867996,7411,357415,0,350,Safeway #1586 Meat/Seafood,Safeway #1586-Grocery,12318 15TH AVE NE,98125,Seattle,(623) 869-3573,Meat/Sea Food,III,grocery,38.68339436083043,18.75, , , , ," 
"
2643,-122.3704588,47.5171967,5665,355667,0,350,Mocha Mojo @ 2851 Sw Roxbury St; Seattle,Mocha Mojo,2851 SW ROXBURY ST,98126,Seattle,(206) 919-5892,Limited Food Services,,quick service,15.611973826245231,20.0, , , , ," 
"
3065,-122.3408048,47.60914619,6506,356509,0,350,Pike Place Chowder,Pike Place Chowder,1530 POST ALY #B,98101,Seattle,(206) 409-5487,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
4168,-122.3164224,47.60013401,8878,358882,0,350,Tan Dinh Deli,Tan Dinh Deli,1212 S MAIN ST #A,98144,Seattle,,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
681,-122.3854316,47.66849266,1389,351391,0,350,Bun Soy,Bun Soy,2221 NW MARKET ST NW,98107,Seattle,(360) 286-8914,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
3122,-122.3255917,47.60935785,6614,356617,0,350,Plaza Select Foods,Plaza Select Foods,1024 MADISON ST,98104,Seattle,,Grocery Store-no seating,I,grocery,38.68339436083043,18.75, , , , ," 
"
887,-122.3335244,47.66120716,1855,351857,0,350,Changes,Changes,2103 N 45TH ST,98103,Seattle,(206) 545-8363,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
1216,-122.3977583,47.65988142,2554,352556,0,350,Discovery Espresso And Juice,Discovery Espresso And Juice,3103 W JAMESON ST,98199,Seattle,,Seating 0-12,II,restaurant,6.0,34.25, , , , ," 
"
695,-122.3151257,47.52681346,1430,351432,0,350,Burrito Express @ 8515 14Th Ave S Seattle 98108,Burrito Express,8515 14th AVE S,98108,Seattle,(206) 793-1966,Mobile Food Unit,III,quick service,15.611973826245231,20.0, , , , ," 
"
1352,-122.3153236,47.52413996,2833,352835,0,350,El Kiosko 3 Llc,El Kiosko 3 Llc,8819 14TH AVE S,98108,Seattle,(206) 762-7227,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
1078,-122.330274,47.56316539,2253,352255,0,350,Costco Wholesale #1; Pizza,Costco Wholesale,4401 4TH AVE S #1,98134,Seattle,(425) 313-8100,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
2671,-122.3016218,47.63997339,5719,355722,0,350,Mont'S Market,Mont'S Market,2350 24TH AVE E,98112,Seattle,,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
2786,-122.3128533,47.65928557,5933,355936,0,350,Noodle Nation,Noodle Nation,4232 UNIVERSITY WAY NE,98105,Seattle,(650) 452-3350,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
2849,-122.3160777,47.6634903,6056,356059,0,350,Oh Bear Cafe And Teahoouse,Oh Bear Cafe And Teahoouse,4708 11TH AVE NE,98105,Seattle,(206) 823-3688,Seating 13-50,II,restaurant,27.0,34.25, , , , ," 
"
1160,-122.3315931,47.59543814,2462,352464,0,350,Deli 1E09 (131),Levy Restaurants @ Lumen Field,800 OCCIDENTAL AVE S,98134,Seattle,(206) 808-8302,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
1186,-122.2967947,47.71821175,2515,352517,0,350,Dicks Drive In,Dick'S Drive In,12325 30TH AVE NE,98125,Seattle,(206) 634-0300,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
409,-122.4081794,47.67513073,823,350825,0,350,Ballard Elks #827,Ballard Elks #827,6411 SEAVIEW AVE NW,98107,Seattle,(206) 784-0827,Non-Profit Institution,III,grocery,38.68339436083043,18.75, , , , ," 
"
4595,-122.3843074,47.66891247,9696,359700,0,350,Verite Coffee,Verite Coffee,2052 NW MARKET ST,98107,Seattle,(206) 992-9794,Seating 13-50,II,restaurant,27.0,34.25, , , , ," 
"
1518,-122.2694016,47.52848938,3211,353213,0,350,Food Plus Inc,Food Plus Inc,8334 RAINIER AVE S #102,98118,Seattle,,Grocery Store-no seating,I,grocery,38.68339436083043,18.75, , , , ," 
"
3058,-122.3397197,47.60821334,6499,356502,0,350,Pike Brewing Company- The Pike Pub,Pike Brewing Company - The Pike Pub,1415 1ST AVE,98101,Seattle,(253) 656-0320,Seating 151-250,III,restaurant,201.0,34.25, , , , ," 
"
683,-122.33867,47.61549,1392,351394,0,350,Burbs Burger (Kc799) @206-720-0100,Burbs Burger (Kc799),121 S KING ST,98104,Seattle,(206) 770-0100,Mobile Food Unit,III,quick service,15.611973826245231,20.0, , , , ," 
"
3987,-122.3348515,47.62402898,8474,358478,0,350,Staybridge Suites Seattle South Lake Union - Breakfast Svc,Staybridge Suites South Lake Union,527 FAIRVIEW AVE N,98109,Seattle,(206) 596-2301,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
1902,-122.2926775,47.58966896,4030,354032,0,350,Iconiq Llc,Iconiq Llc,1421 31ST AVE S,98144,Seattle,(206) 818-0394,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
2017,-122.3714551,47.66267382,4374,354376,0,350,Jolly Roger Taproom @ Maritime Pacific Brewing,Jolly Roger Taproom,1111 NW BALLARD WAY,98107,Seattle,(206) 782-6181,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
4051,-122.3545801,47.62250374,8634,358638,0,350,Suite Level N Club Food Stand 2,Arena At Seattle Center,334 1ST AVE N,98109,Seattle,(206) 437-1240,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
2883,-122.3473297,47.61426171,6109,356113,0,350,Ora Nightclub,Ora Nightclub,2330 1ST AVE,98121,Seattle,(206) 280-8880,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
3713,-122.3336732,47.61125877,7914,357918,0,350,Sheraton,Sheraton,629 PIKE ST,98101,Seattle,(206) 621-9000,Seating 151-250,III,restaurant,201.0,34.25, , , , ," 
"
740,-122.3256301,47.67571458,1496,351498,0,350,Cafe Lulu,Cafe Lulu,6417 LATONA AVE NE,98115,Seattle,(206) 235-7950,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
2405,-122.4066469,47.67436823,5125,355127,0,350,Macho-Macho (Kc312) @ 206 715 3709,Macho-Macho (Kc312),6301 SEAVIEW AVE NW,98107,Seattle,(206) 715-3709,Mobile Food Unit,III,quick service,15.611973826245231,20.0, , , , ," 
"
1949,-122.3264424,47.61592385,4172,354174,0,350,J'S Quick Stop,J'S Quick Stop,1618 BELLEVUE AVE #3,98122,Seattle,(206) 313-1949,Grocery Store-no seating,I,grocery,38.68339436083043,18.75, , , , ," 
"
957,-122.4057872,47.58079176,2012,352014,0,350,Christo'S On Alki,Christo'S On Alki,2508 ALKI AVE SW,98116,Seattle,,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
4680,-122.33306,47.61566,9872,359876,0,350,Warming Kitchen On Level 2,Marriott Residence Inn Seattle,1815 TERRY AVE,98101,Seattle,(206) 388-1000,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
2788,-122.3357468,47.61223225,5943,355946,0,350,Nordstrom Grill,Nordstrom,1617 6TH AVE,98101,Seattle,(206) 628-2111,Seating 51-150,III,restaurant,101.0,34.25,PR0049485,NORDSTROM,NORDSTROM,Y,"1617 6TH AV
"
2531,-122.3768422,47.66391083,5386,355388,0,350,Mean Sandwich Llc,Mean Sandwich Llc,1510 NW LEARY WAY,98107,Seattle,(206) 569-4327,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
1818,-122.31287,47.57893792,3851,353853,0,350,Hilltop Market,Hilltop Red Apple,2701 BEACON AVE S,98144,Seattle,(425) 869-5957,Meat/Sea Food,III,grocery,38.68339436083043,18.75, , , , ," 
"
4656,-122.3760275,47.54550858,9817,359821,0,350,Walgreens  #4898,Walgreens  #4898,6330 35TH AVE SW,98126,Seattle,,Grocery Store-no seating,I,grocery,38.68339436083043,18.75, , , , ," 
"
1891,-122.3480034,47.61996835,3998,354000,0,350,Hyatt House Seattle/Downtown - Grocery,Hyatt House Seattle/Downtown,201 5th AVE N,98109,Seattle,,Grocery Store-no seating,I,grocery,38.68339436083043,18.75, , , , ," 
"
2169,-122.3218275,47.61392945,4685,354687,0,350,Kyoto Teriyaki,Kyoto Teriyaki,803 E PIKE ST,98122,Seattle,,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
3240,-122.386724,47.67055196,6897,356901,0,350,Qfc #891 - Bakery,Qfc #891,5700 24TH AVE NW,98107,Seattle,(206) 808-0332,Bakery-no seating,II,quick service,15.611973826245231,20.0, , , , ," 
"
1350,-122.3059148,47.61756798,2826,352828,0,350,El Gallito Restaurant,El Gallito Restaurant,1700 20TH AVE,98122,Seattle,(206) 329-8088,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
4185,-122.350237,47.488203,8904,358908,0,350,Taqueria El Antojo (Kc070) @ 7427 Fauntleroy Way Sw Seattle,Taquitos Feliz Dos (Kc070),10050 15th AVE SW,98146,Seattle,(206) 310-0654,Mobile Food Unit,III,quick service,15.611973826245231,20.0, , , , ," 
"
1861,-122.3293202,47.61088493,3938,353940,0,350,Horizon House Terrace Lounge Deli,Horizon House,900 UNIVERSITY ST,98101,Seattle,(206) 382-3736,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
2045,-122.3480178,47.64996785,4424,354426,0,350,Just Burgers,Just Burgers,743 N 35TH ST STE 101,98103,Seattle,(206) 535-7286,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
3721,-122.3828458,47.66888201,7927,357931,0,350,Shingle Town Pub & Eatery,Shingle Town Pub & Eatery,2014 & 2016 NW MARKET ST,98107,Seattle,,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
3806,-122.3497647,47.61550282,8124,358128,0,350,Some Random Bar,Some Random Bar,2604 1ST AVE,98121,Seattle,(206) 726-7967,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
4390,-122.3823381,47.64520918,9291,359295,0,350,Time 4 Pho,Time 4 Pho,2812 THORNDYKE AVE W,98199,Seattle,(206) 915-4280,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
1635,-122.3472676,47.61816651,3485,353487,0,350,Golden Singha Thai Cuisine,Golden Singha Thai Cuisine,425 CEDAR ST,98121,Seattle,,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
869,-122.3145026,47.66476019,1810,351812,0,350,Cedars On Brooklyn,Cedars Brooklyn Deli,4759 BROOKLYN AVE NE,98105,Seattle,(425) 301-3141,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
3210,-122.3658957,47.52202885,6806,356810,0,350,Qfc #825 - Deli,Qfc #825,2500 SW BARTON ST,98126,Seattle,,Seating 0-12,III,restaurant,6.0,34.25,PR0072200,QFC #825,STARBUCKS,Y,"2500 SW BARTON ST
"
2523,-122.2859827,47.54556682,5370,355372,0,350,Mcdonald'S; #13366,Mcdonald'S; #13366,6305 M L KING JR WAY S,98118,Seattle,(425) 226-0089,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
