,lon,lat,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,CITY,PHONE,SEAT_CAP,RISK,main_type,capacity,price,RECORD_ID,FACILITY_NAME,CHAIN_NAME,CHAIN_ESTABLISHMENT,SITE_ADDRESS
17,-122.270326,47.53277333,26,350028,0,350,1St Union Store,1St Union Store,7729 RAINIER AVE S,98118,Seattle,(206) 721-1980,Grocery Store-no seating,I,grocery,38.68339436083043,18.75, , , , ," 
"
18,-122.3583143,47.52059619,27,350029,0,350,2 Fingers  Social,2 Fingers  Social,9211 DELRIDGE WAY SW,98106,Seattle,(702) 302-7083,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
19,-122.3259106,47.63568728,29,350031,0,350,20 Oz Tea,20 Oz Tea,1823 EASTLAKE AVE E 160,98102,Seattle,(206) 355-1491,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
20,-122.34093,47.6612,31,350033,0,350,206 Burger,206 Burger,1329 N 45TH ST STE 109,98103,Seattle,(206) 805-9222,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
21,-122.3261481,47.60905516,32,350034,0,350,206 Burger Company,206 Burger Company,1000 MADISON ST,98104,Seattle,(206) 735-7069,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
22,-122.3401434,47.61577714,34,350036,0,350,2120,2120,2120 6TH AVE,98121,Seattle,(206) 829-8700,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
23,-122.2975524,47.60774281,36,350038,0,350,23Rd & Cherry Fellowship Hall,23Rd & Cherry Fellowship Hall,2701 E CHERRY ST,98122,Seattle,(206) 325-4388,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
24,-122.31118,47.496095,37,350039,0,350,24/7 Convenience Store,24/7 Convenience Store,11851 GLENDALE WAY S,98168,Seattle,(206) 841-6123,Grocery Store-no seating,I,grocery,38.68339436083043,18.75, , , , ," 
"
25,-122.3335775,47.59217444,38,350040,0,350,249 Sound Seafood,T-Mobile Park,151 S ROYAL BROUGHAM WAY,98134,Seattle,,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
26,-122.2947418,47.71955074,39,350041,0,350,2C Thaibistro & Spirits,2C Thaibistro & Spirits,12506 LAKE CITY WAY NE,98125,Seattle,(425) 786-7169,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
27,-122.3456321,47.61378367,40,350042,0,350,2Nd Ave Grocery,2Nd Ave Grocery,2237 2ND AVE,98121,Seattle,(206) 306-5773,Grocery Store-no seating,I,grocery,38.68339436083043,18.75, , , , ," 
"
28,-122.2901962,47.53893263,41,350043,0,350,3 Little Sisters Filipino Deli,3 Little Sisters Filipino Deli,7054 32ND AVE S,98118,Seattle,(206) 430-4418,Mobile Food Unit,III,quick service,15.611973826245231,20.0, , , , ," 
"
29,-122.36251,47.55168,42,350044,0,350,312 Pizza Company,312 Pizza Company,5604 DELRIDGE WAY SW,98106,Seattle,(203) 339-3337,Caterer,III,others,10.781842783248672,15.0, , , , ," 
"
30,-122.3335775,47.59217444,43,350045,0,350,314 Incrediberrie'S,T-Mobile Park,151 S ROYAL BROUGHAM WAY,98134,Seattle,,Seating 0-12,I,restaurant,6.0,34.25, , , , ," 
"
31,-122.3627218,47.55167133,44,350046,0,350,314 Pie,314 Pie,801 26TH AVE E,98112,Seattle,(512) 304-3590,Mobile Food Unit,III,quick service,15.611973826245231,20.0, , , , ," 
"
32,-122.3335775,47.59217444,45,350047,0,350,329 Big Cheese,T-Mobile Park,151 S ROYAL BROUGHAM WAY,98134,Seattle,,Seating 0-12,I,restaurant,6.0,34.25, , , , ," 
"
33,-122.3335775,47.59217444,46,350048,0,350,331 Pop Corn,T-Mobile Park,151 S ROYAL BROUGHAM WAY,98134,Seattle,,Seating 0-12,I,restaurant,6.0,34.25, , , , ," 
"
34,-122.3335775,47.59217444,47,350049,0,350,338 Boxscore Bar,T-Mobile Park,151 S ROYAL BROUGHAM WAY,98134,Seattle,,Mobile Food Unit,III,quick service,15.611973826245231,20.0, , , , ," 
"
35,-122.3422459,47.65179257,48,350050,0,350,36 Stone,36 Stone,3636 STONE WAY N,98103,Seattle,(425) 268-3211,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
36,-122.3399331,47.61202267,49,350051,0,350,3Rd Ave Cafe,3Rd Ave Cafe,1908 3RD AVE,98101,Seattle,(206) 622-7778,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
37,-122.3304532,47.66125926,53,350055,0,350,45 Stop-N-Go & Sushi Deli,45 Stop-N-Go & Sushi Deli,2323 N 45TH ST,98103,Seattle,(206) 678-2270,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
38,-122.3375087,47.61827131,54,350056,0,350,45Th Poke Bar,45Th Poke Bar,2121 TERRY AVE #104,98121,Seattle,(206) 678-2270,Seating 13-50,II,restaurant,27.0,34.25, , , , ," 
"
39,-122.334435,47.66120371,55,350057,0,350,4649 Restaurant,4649 Restaurant,1913 N 45TH ST,98103,Seattle,(206) 547-4649,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
40,-122.3645211,47.65911059,56,350058,0,350,4B'S Tavern,4B'S Tavern,4300 LEARY WAY NW,98107,Seattle,(425) 442-1329,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
41,-122.3242337,47.70292236,57,350059,0,350,5 Guys Seattle Burgers,5 Guys Seattle Burgers,311 NE 103rd ST,98125,Seattle,(801) 859-4448,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
42,-122.3279142,47.5982991,60,350062,0,350,505 Dimples Gift & Sundries,505 Dimples Gift & Sundries,505 5TH AVE S 190,98104,Seattle,(206) 643-0421,Grocery Store-no seating,I,grocery,38.68339436083043,18.75, , , , ," 
"
43,-122.3545801,47.62250374,63,350065,0,350,550 Level W Bar,Arena At Seattle Center,334 1ST AVE N,98109,Seattle,(206) 437-1240,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
44,-122.332448,47.66850549,64,350066,0,350,56Th Street Market,56Th Street Market,2201 N 56TH ST,98103,Seattle,(206) 402-3699,Grocery Store-no seating,I,grocery,38.68339436083043,18.75, , , , ," 
"
45,-122.325304,47.675805,65,350067,0,350,65Th St Cafe & Restaurant,65Th St Cafe & Restaurant,301 NE 65TH ST,98115,Seattle,(206) 522-5585,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
46,-122.3244913,47.59737798,66,350068,0,350,663 Bistro,663 Bistro,663 S WELLER ST,98104,Seattle,(206) 349-2544,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
47,-122.308767,47.49817392,67,350069,0,350,7- Eleven #23931F,7- Eleven #23931F,11657 DES MOINES MEMORIAL DR S,98168,Seattle,,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
48,-122.3554136,47.53400906,70,350072,0,350,7-Eleven #14470B,7-Eleven #14470B,1600 SW HOLDEN ST,98106,Seattle,(206) 763-1415,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
49,-122.2921186,47.44568709,72,350074,0,350,7-Eleven #15525E,7-Eleven #15525E,3120 S 176TH ST,98188,Seattle,(972) 828-6928,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
50,-122.3879876,47.67360474,73,350075,0,350,7-Eleven #16365L,7-Eleven #16365L,6111 24TH AVE NW,98107,Seattle,,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
51,-122.387128,47.55880395,74,350076,0,350,7-Eleven #16547P,7-Eleven #16547P,4812 ERSKINE WAY SW,98116,Seattle,(253) 796-7151,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
52,-122.3441042,47.68261328,75,350077,0,350,7-Eleven #19042G,7-Eleven #19042G,7314 AURORA AVE N,98103,Seattle,(206) 522-7066,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
53,-122.3130887,47.71916796,78,350080,0,350,7-Eleven #23895D,7-Eleven #23895D,12355 15TH AVE NE,98125,Seattle,(206) 363-9454,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
54,-122.2958738,47.42239332,83,350085,0,350,7-Eleven #27742B,7-Eleven #27742B,20008 PACIFIC HWY S,98198,Seattle,(972) 828-6928,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
55,-122.3704303,47.66315564,84,350086,0,350,7-Eleven #32945H,7-Eleven #32945H,999 NW LEARY WAY,98107,Seattle,(972) 828-6927,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
56,-122.3358385,47.61602863,88,350090,0,350,7-Eleven #35532B,7-Eleven #35532B,819 VIRGINIA ST UNIT C-1,98101,Seattle,(206) 623-0413,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
57,-122.3344639,47.60251526,89,350091,0,350,7-Eleven #35541B,7-Eleven #35541B,627 1ST AVE,98104,Seattle,(206) 467-5979,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
58,-122.3327488,47.6046984,92,350094,0,350,7-Eleven #37068A,7-Eleven #37068A,810 3RD AVE STE 820,98104,Seattle,(206) 682-2866,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
59,-122.3161238,47.66298557,94,350096,0,350,7-Eleven #37755A,7-Eleven #37755A,1105 NE 47th ST,98105,Seattle,(972) 828-7656,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
60,-122.3308116,47.61720863,102,350104,0,350,7-Eleven #41883A,7-Eleven #41883A,1830 MINOR AVE,98101,Seattle,(972) 828-6928,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
61,-122.3867406,47.58135756,105,350107,0,350,7-Eleven 14436,7-Eleven 14436E,4312 SW ADMIRAL WAY SW,98116,Seattle,(425) 271-5030,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
62,-122.2956293,47.4325377,108,350110,0,350,7-Eleven Store -2361 26818F,7-Eleven Store -2361 26818F,19023 PACIFIC HWY S,98188,Seattle,(253) 796-7155,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
63,-122.2606044,47.47675641,111,350113,0,350,7-Eleven Store #17438J,7-Eleven Store #17438J,14057 INTERURBAN AVE S,98168,Seattle,,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
64,-122.2580865,47.48778089,113,350115,0,350,7-Eleven Store #23525F,7-Eleven Store #23525F,12848 M L KING JR WAY S,98178,Seattle,(206) 772-3112,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
65,-122.3170806,47.69574728,114,350116,0,350,7-Eleven Store #2360-14355G,7-Eleven Store #2360-14355G,9126 ROOSEVELT WAY NE,98115,Seattle,(206) 522-6231,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
66,-122.3986796,47.66772067,115,350117,0,350,7-Eleven Store #2360-14360A,7-Eleven Store #2360-14360A,3200 NW 54TH ST,98107,Seattle,(253) 796-7155,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
67,-122.309715,47.68894748,116,350118,0,350,7-Eleven Store #2360-14373C,7-Eleven Store #2360-14373C,8250 LAKE CITY WAY NE,98115,Seattle,(206) 522-2711,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
68,-122.3573274,47.64918663,117,350119,0,350,7-Eleven Store #2360-14392B,7-Eleven Store #2360-14392B,9 NICKERSON ST,98109,Seattle,(253) 796-7155,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
69,-122.3429274,47.65510354,121,350123,0,350,7-Eleven Store #2360-18553D,7-Eleven Store #2360-18553D,3939 STONE WAY N,98103,Seattle,(425) 771-5458,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
70,-122.3492997,47.61875235,124,350126,0,350,7-Eleven Store #2360-23109D,7-Eleven Store #2360-23109D,362 DENNY WAY,98109,Seattle,(425) 397-7143,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
71,-122.3040144,47.5852103,125,350127,0,350,7-Eleven Store #2360-24497C,7-Eleven Store #2360-24497C,2009 RAINIER AVE S,98144,Seattle,(253) 796-7155,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
72,-122.3785919,47.6689447,126,350128,0,350,7-Eleven Store #2360-25525D,7-Eleven Store #2360-25525D,1550 NW MARKET ST,98107,Seattle,,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
73,-122.3550763,47.71992691,127,350129,0,350,7-Eleven Store #2360-26055B,7-Eleven Store #2360-26055B,300 N 125TH ST,98133,Seattle,(253) 796-7155,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
74,-122.3552133,47.65278995,128,350130,0,350,7-Eleven Store #2360-26544C,7-Eleven Store #2360-26544C,304 N 36TH ST,98103,Seattle,(253) 796-7155,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
75,-122.2892322,47.47269532,129,350131,0,350,7-Eleven Store #2361-14443D,7-Eleven Store #2361-14443D,14462 34TH AVE S,98168,Seattle,(253) 796-7155,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
76,-122.3596884,47.52177008,130,350132,0,350,7-Eleven Store #2361-14463E,7-Eleven Store #2361-14463E,9041 DELRIDGE WAY SW,98106,Seattle,(253) 796-7155,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
77,-122.2838997,47.47589059,132,350134,0,350,7-Eleven Store #2361-22866C,7-Eleven Store #2361-22866C,14207 PACIFIC HWY S,98168,Seattle,(253) 796-7155,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
78,-122.3871664,47.56995869,135,350137,0,350,7-Eleven Store #2361-24404B,7-Eleven Store #2361-24404B,3801 CALIFORNIA AVE SW,98116,Seattle,(253) 796-7155,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
79,-122.3334962,47.70902233,140,350142,0,350,7-Eleven Store #27901G,7-Eleven Store #27901G,2100 N NORTHGATE WAY,98133,Seattle,(206) 351-1936,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
80,-122.287323,47.550965,147,350149,0,350,7 - Eleven #37134A,7 - Eleven #37134A,5700 M L KING JR WAY S,98118,Seattle,(206) 725-8421,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
81,-122.3127633,47.66350241,148,350150,0,350,7 - Eleven #38365A,7 - Eleven #38365A,4710 UNIVERSITY WAY NE,98105,Seattle,(206) 409-5327,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
82,-122.3556186,47.68268461,151,350153,0,350,74Th St Ale House,74Th St Ale House,7401 GREENWOOD AVE N,98103,Seattle,(206) 228-7908,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
83,-122.3157809,47.47437302,152,350154,0,350,757 Mini Mart,757 Mini Mart,14257 DES MOINES MEMORIAL DR S,98168,Seattle,(206) 242-9431,Grocery Store-no seating,I,grocery,38.68339436083043,18.75, , , , ," 
"
84,-122.3122506,47.48829342,153,350155,0,350,76 Food #284,76 Food #284,12807 DES MOINES MEMORIAL DR S,98168,Seattle,(206) 650-5442,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
85,-122.3881669,47.66844249,158,350160,0,350,8 Oz Burger & Co,8Oz Burger & Co,2409 NW MARKET ST,98107,Seattle,(206) 819-0705,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
86,-122.3210698,47.61316031,159,350161,0,350,8 Oz Burger Bar,8 Oz Burger Bar,1401 BROADWAY,98122,Seattle,(206) 819-0776,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
87,-122.3350847,47.60186637,160,350162,0,350,84 Yesler,84 Yesler,84 YESLER WAY,98104,Seattle,(206) 618-7739,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
88,-122.3657722,47.69087845,163,350165,0,350,85Th Street Market - Chucks Hop Shop,Chucks Hop Shop,656 NW 85TH ST,98117,Seattle,(206) 552-9544,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
89,-122.3348645,47.56800459,165,350167,0,350,9 Hats Winery,9 Hats Winery,3861 1ST AVE S STE C,98134,Seattle,(206) 366-0335,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
90,-122.2711872,47.54056465,172,350174,0,350,A-Chau Cafe & Deli Llc,A-Chau Cafe & Deli Llc,6902 RAINIER AVE S,98118,Seattle,(206) 327-8726,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
91,-122.3763195,47.51772712,173,350175,0,350,A-Pizza Mart,A-Pizza Mart,9452 35TH AVE SW,98126,Seattle,(206) 932-5350,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
92,-122.3240987,47.59763656,175,350177,0,350,A & B Cafe,A & B Cafe,670 S WELLER ST,98104,Seattle,(206) 625-0408,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
93,-122.3546714,47.67170486,178,350180,0,350,A La Mode Pies,A La Mode Pies,5821 PHINNEY AVE N,98103,Seattle,(206) 383-3796,Seating 0-12,II,restaurant,6.0,34.25, , , , ," 
"
94,-122.383687,47.669679,179,350181,0,350,A La Mode Pies Ballard,A La Mode Pies Ballard,2034 NW 56TH ST #150,98107,Seattle,(206) 456-4343,Seating 13-50,II,restaurant,27.0,34.25, , , , ," 
"
95,-122.3863031,47.56092599,180,350182,0,350,A La Mode Pies Llc,A La Mode Pies Llc,4225 SW ALASKA ST,98116,Seattle,(206) 456-4343,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
96,-122.3453486,47.61828716,181,350183,0,350,A Pizza Mart,A Pizza Mart,2525 6TH AVE,98121,Seattle,(206) 322-4323,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
97,-122.312678,47.66761667,182,350184,0,350,A Pizza Mart Bar & Grill Inc,A Pizza Mart Bar & Grill Inc,5240 UNIVERSITY WAY NE STE D,98105,Seattle,(206) 697-5011,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
98,-122.32417,47.59822,184,350186,0,350,A Plus Hong Kong Kitchen,A Plus Hong Kong Kitchen,669 S KING ST STE 103,98104,Seattle,(425) 220-9333,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
99,-122.3265256,47.59854226,185,350187,0,350,A Plus Kitchen Inc,A Plus Kitchen Inc,419 6TH AVE S,98104,Seattle,(206) 859-1874,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
100,-122.3559855,47.7333351,188,350190,0,350,A1 Market,A1 Market,14401 GREENWOOD AVE N,98133,Seattle,(206) 679-0369,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
101,-122.3549588,47.70460094,189,350191,0,350,A1 Mart; Inc,A1 Mart; Inc,10406 GREENWOOD AVE N,98133,Seattle,(206) 407-6732,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
102,-122.3138815,47.56303484,194,350196,0,350,Abarrotes El Oaxaqueno,Abarrotes El Oaxaqueno,4515 15TH AVE S,98108,Seattle,(206) 954-2229,Grocery Store-no seating,I,grocery,38.68339436083043,18.75, , , , ," 
"
103,-122.2946149,47.57450076,195,350197,0,350,Abarrotes Ramirez,Abarrotes Ramirez,3218 RAINIER AVE S,98144,Seattle,(206) 683-1013,Grocery Store-no seating,I,grocery,38.68339436083043,18.75, , , , ," 
"
104,-122.3144775,47.51669199,197,350199,0,350,Abboud'S Mc Donald'S,Mcdonald'S; Llc,9610 DES MOINES MEMORIAL DR S,98108,Seattle,(206) 827-9700,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
105,-122.3868458,47.54330525,198,350200,0,350,Abboud'S Mcdonalds,Abboud'S Mcdonald'S; Llc,6546 CALIFORNIA AVE SW,98136,Seattle,(206) 762-9445,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
106,-122.3871219,47.57670898,199,350201,0,350,Abboud'S Mcdonalds; Llc,Abboud'S Mcdonalds; Llc,3003 CALIFORNIA AVE SW,98116,Seattle,(206) 767-5258,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
107,-122.3447829,47.61130615,203,350205,0,350,Aburiya Bento House,Aburiya Bento House,2100 WESTERN AVE B,98121,Seattle,(206) 453-4685,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
108,-122.3440677,47.61507933,204,350206,0,350,Abyssinia Market,Abyssinia Market,2225 4TH AVE,98121,Seattle,(206) 770-9410,Seating 0-12,II,restaurant,6.0,34.25, , , , ," 
"
109,-122.2930802,47.72453143,209,350211,0,350,Accituno'S #12,Accituno'S #12,13055 LAKE CITY WAY NE,98125,Seattle,(206) 861-2008,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
110,-122.3542058,47.67217113,215,350217,0,350,Ada'S Restaurant & Bar,Ada'S Restaurant & Bar,5910 PHINNEY AVE N,98103,Seattle,(206) 906-9554,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
111,-122.3128624,47.62268345,216,350218,0,350,Ada'S Technical Books & Cafe,Ada'S Technical Books And Cafe,425 15TH AVE E,98112,Seattle,(206) 941-4010,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
113,-122.3872727,47.67561962,219,350221,0,350,Addo Incubator,Addo Incubator,6420 24TH AVE NW,98107,Seattle,(206) 856-1315,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
114,-122.303841,47.61273863,222,350224,0,350,Adey Abeba Ethiopian Restaurant,Adey Abeba Ethiopian Restaurant,2123 E UNION ST,98122,Seattle,,Seating 13-50,III,restaurant,27.0,34.25, , , , ," 
"
115,-122.3869174,47.5814948,223,350225,0,350,Admiral Chevron,Admiral Chevron,2347 CALIFORNIA AVE SW,98116,Seattle,,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
116,-122.3867329,47.58270695,224,350226,0,350,Admiral Cinema Llc,Admiral Cinema Llc,2343 CALIFORNIA AVE,98116,Seattle,,Seating 0-12,I,restaurant,6.0,34.25, , , , ," 
"
117,-122.3862262,47.58269706,225,350227,0,350,Admiral Pub,Admiral Pub,2306 CALIFORNIA AVE SW,98116,Seattle,(206) 889-3945,Seating 51-150,III,restaurant,101.0,34.25, , , , ," 
"
118,-122.34481,47.61079,229,350231,0,350,Aerlume,Aerlume,2003 WESTERN AVE STE C,98121,Seattle,(206) 352-1450,Seating 151-250,III,restaurant,201.0,34.25, , , , ," 
"
119,-122.1754386,47.62244479,231,350233,0,350,Af Operations Truck #2- Uwa2,Af Operations Truck #2 - Uwa2,13537 AURORA AVE N,98133,Seattle,(206) 740-8467,Mobile Food Unit,I,quick service,15.611973826245231,20.0, , , , ," 
"
120,-122.3858026,47.5799024,233,350235,0,350,Afc Sushi,Afc Sushi @ Safeway  #2932,2622 CALIFORNIA AVE SW,98116,Seattle,(310) 604-3200,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
121,-122.400591,47.654794,235,350237,0,350,Afc Sushi #161 @ Metropolitan Market,Afc Sushi@ Metropolitan Market #161,3830 34TH AVE W,98199,Seattle,(310) 604-3200,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
122,-122.3170102,47.68199199,239,350241,0,350,Afc Sushi (Safeway #1550),Afc Sushi (Safeway #1550),7300 ROOSEVELT WAY NE,98115,Seattle,(206) 525-6348,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
123,-122.3384063,47.61534171,241,350243,0,350,Afc Sushi @ Amazon Doppler Building,Afc Sushi @ Amazon Doppler Building,2021 7TH AVE,98121,Seattle,(310) 604-3200,Seating 0-12,III,restaurant,6.0,34.25, , , , ," 
"
